id;tenant_id;created_by;action;metadata;created_at;updated_at
b3a45e02-e708-46f9-bca0-1882dea6f9fa;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;quiz_attempt;"{""ts"":""2026-05-12T13:28:33.285Z""}";2026-05-18 13:28:33.425117+00;2026-05-18 13:28:33.425117+00
2a48c3d1-f1ee-4b43-911c-d855cfbe6b13;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;quiz_attempt;"{""ts"":""2026-05-13T13:28:33.285Z""}";2026-05-18 13:28:33.664268+00;2026-05-18 13:28:33.664268+00
cbfba46b-6595-4f5c-b745-c36548c65d0f;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;created_note;"{""ts"":""2026-04-19T13:28:33.285Z""}";2026-05-18 13:28:33.927879+00;2026-05-18 13:28:33.927879+00
d67ad11e-9fe0-48b4-92ab-bc584e8f3564;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;quiz_attempt;"{""ts"":""2026-05-12T13:28:33.285Z""}";2026-05-18 13:28:34.161627+00;2026-05-18 13:28:34.161627+00
6e802f29-077a-46b6-8ac1-fdf5ee7ee83a;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;quiz_attempt;"{""ts"":""2026-04-28T13:28:33.285Z""}";2026-05-18 13:28:34.423312+00;2026-05-18 13:28:34.423312+00
3579b60d-2b35-41e2-af9f-7850750fd307;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;login;"{""ts"":""2026-04-29T13:28:33.285Z""}";2026-05-18 13:28:34.666864+00;2026-05-18 13:28:34.666864+00
3395f772-fbb0-49a0-a8fa-c2c4ee82b8e7;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;ai_query;"{""ts"":""2026-05-05T13:28:33.285Z""}";2026-05-18 13:28:34.9281+00;2026-05-18 13:28:34.9281+00
c2e8f392-e8d2-4dc5-9a9f-ef7e57471a37;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;solved_problem;"{""ts"":""2026-05-02T13:28:33.285Z""}";2026-05-18 13:28:35.163449+00;2026-05-18 13:28:35.163449+00
81e05388-6d1c-4285-a006-703c067a8f8e;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;login;"{""ts"":""2026-05-02T13:28:33.285Z""}";2026-05-18 13:28:35.430181+00;2026-05-18 13:28:35.430181+00
08922a6f-400f-4597-8df2-333838094664;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;ai_query;"{""ts"":""2026-05-09T13:28:33.285Z""}";2026-05-18 13:28:35.663981+00;2026-05-18 13:28:35.663981+00
5baf1af2-f873-4cb0-861a-e07096998a67;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;quiz_attempt;"{""ts"":""2026-05-05T13:28:33.285Z""}";2026-05-18 13:28:35.923643+00;2026-05-18 13:28:35.923643+00
c0c5b612-1e51-483d-a9bf-0534689c8101;dc13b335-897e-4b6f-9d25-57096521ee41;92d930d9-cb30-4fbc-91ed-c80b496a513f;created_note;"{""ts"":""2026-04-22T13:28:33.285Z""}";2026-05-18 13:28:36.159376+00;2026-05-18 13:28:36.159376+00
e73a7b10-5e56-4dfb-a14d-e4b81ed58de6;dc13b335-897e-4b6f-9d25-57096521ee41;555faec2-40b3-4560-8985-54c83e382808;code_run;"{""ts"":""2026-05-12T13:28:33.285Z""}";2026-05-18 13:28:36.422024+00;2026-05-18 13:28:36.422024+00
d7e89d19-edd5-499c-98f2-bfa11882d812;dc13b335-897e-4b6f-9d25-57096521ee41;555faec2-40b3-4560-8985-54c83e382808;created_note;"{""ts"":""2026-05-16T13:28:33.285Z""}";2026-05-18 13:28:36.656362+00;2026-05-18 13:28:36.656362+00
bd334510-9348-411e-96bd-9fb518a4b626;dc13b335-897e-4b6f-9d25-57096521ee41;555faec2-40b3-4560-8985-54c83e382808;code_run;"{""ts"":""2026-05-09T13:28:33.285Z""}";2026-05-18 13:28:36.91764+00;2026-05-18 13:28:36.91764+00
778bee3e-61ca-4224-9833-3116422d8524;dc13b335-897e-4b6f-9d25-57096521ee41;555faec2-40b3-4560-8985-54c83e382808;solved_problem;"{""ts"":""2026-05-16T13:28:33.285Z""}";2026-05-18 13:28:37.15159+00;2026-05-18 13:28:37.15159+00
7bd013d6-a4c5-40f9-80c8-44d99cbc79c5;dc13b335-897e-4b6f-9d25-57096521ee41;555faec2-40b3-4560-8985-54c83e382808;created_note;"{""ts"":""2026-04-26T13:28:33.285Z""}";2026-05-18 13:28:37.412829+00;2026-05-18 13:28:37.412829+00
de7c28e8-6879-4bfd-bbc0-60af666bf31e;dc13b335-897e-4b6f-9d25-57096521ee41;555faec2-40b3-4560-8985-54c83e382808;login;"{""ts"":""2026-05-12T13:28:33.285Z""}";2026-05-18 13:28:37.645605+00;2026-05-18 13:28:37.645605+00
2df69d66-e7a2-4933-895c-62a4b4afbc1b;dc13b335-897e-4b6f-9d25-57096521ee41;555faec2-40b3-4560-8985-54c83e382808;created_note;"{""ts"":""2026-04-26T13:28:33.285Z""}";2026-05-18 13:28:37.907373+00;2026-05-18 13:28:37.907373+00
